1-0	4-nummod	1-nsubj
210-6	3-nmod	5-nmod
210-7	0-conj	6-nmod
210-8	7-advmod	2-advmod
210-9	7-dobj	8-nmod
210-10	0-punct	2-punct

211-0	19-root	1-cc
211-1	2-dep	19-root
211-2	0-conj	1-nmod
211-3	4-det	1-nmod
211-4	2-nsubj	1-nmod
211-5	6-case	6-advmodCOLemph
211-6	4-nmod	4-nmod
211-7	2-advmod	6-nmod
211-8	10-advmod	7-nmod
211-9	10-det	19-root
211-10	2-dobj	9-nmod
211-11	15-case	12-advmodCOLemph
211-12	15-det	10-nmod
211-13	14-advmod	14-advmod
211-14	15-dep	9-nmod
211-15	10-nmod	14-nmod
211-16	17-case	15-nmod
211-17	15-nmod	16-nmod
211-18	0-punct	9-punct

212-0	4-case	28-root
212-1	4-nmodCOLposs	0-nmod
212-2	1-name	1-nmod
212-3	1-amod	2-nmod
212-4	11-nmod	3-nmod
212-5	6-case	4-nmod
212-6	4-nmod	5-nmod
212-7	11-aux	6-nmod
212-8	11-nsubj	7-nmod
212-9	10-case	10-advmodCOLemph
212-10	8-nmod	8-nmod
212-11	28-root	10-nmod
212-12	11-dobj	11-nmod
212-13	11-advmod	12-nmod
212-14	17-case	13-nmod
212-15	17-det	17-xcomp
212-16	17-amod	15-nmod
212-17	13-nmod	0-nmod
212-18	17-punct	17-punct
212-19	26-dep	28-root
212-20	24-nsubj	19-nmod
212-21	22-case	22-advmodCOLemph
212-22	20-nmod	20-nmod
212-23	24-aux	22-nmod
212-24	17-aux	23-nmod
212-25	24-advmod	24-nmod
212-26	25-dep	25-nmod
212-27	11-punct	19-punct

213-0	3-nsubj	17-root
213-1	3-aux	0-nmod
213-2	3-advmod	0-nmod
213-3	17-root	2-nmod
213-4	6-case	5-advmodCOLemph
213-5	6-amod	3-nmod
213-6	3-nmod	5-nmod
213-7	8-case	17-root
213-8	3-nmod	7-nmod
213-9	8-dep	8-nmod
213-10	9-dep	14-dep
213-11	13-auxpass	10-nmod
213-12	13-auxpass	11-nmod
213-13	10-dep	12-nmod
213-14	15-case	7-nmod
213-15	13-nmod	14-nmod
213-16	3-punct	7-punct

214-0	5-dobj	11-root
214-1	11-root	0-nmod
214-2	1-nsubj	1-nmod
214-3	1-punct	0-punct
214-4	5-nsubj	5-expl
214-5	1-dep	0-nmod
214-6	9-case	5-nmod
214-7	9-det	11-root
214-8	9-amod	7-nmod
214-9	5-nmod	8-nmod
214-10	1-punct	7-punct

215-0	1-nsubj	37-root
215-1	37-root	0-nmod
215-2	1-punct	0-punct
215-3	4-nsubj	0-nmod
215-4	1-dep	3-nmod
215-5	4-dobj	4-nmod
215-6	4-advmod	0-advmod
215-7	11-punct	0-punct
215-8	11-mark	9-mark
215-9	11-nsubj	0-nmod
215-10	11-neg	0-nmod
215-11	4-dep	10-nmod
215-12	11-dobj	11-nmod
215-13	12-dep	12-nmod
215-14	15-det	13-nmod
215-15	13-dobj	14-nmod
215-16	11-punct	15-punct
215-17	20-nsubj	37-root
215-18	20-advmod	17-nmod
215-19	20-neg	18-nmod
215-20	15-dep	19-nmod
215-21	23-amod	20-nmod
215-22	23-amod	21-nmod
215-23	20-dobj	22-nmod
215-24	23-dep	23-nmod
215-25	26-det	26-nmod
215-26	24-dep	24-nmod
215-27	20-punct	17-punct
215-28	20-cc	17-cc
215-29	30-advmod	28-nmod
215-30	20-conj	29-nmod
215-31	30-dobj	30-nmod
215-32	31-dep	31-nmod
215-33	34-advmod	34-advmod
215-34	32-advmod	37-root
215-35	32-advmod	34-advmod
215-36	1-punct	34-punct

216-0	22-nsubj	1-advmod
216-1	22-aux	28-root
216-2	22-dep	1-nmod
216-3	5-det	2-nmod
216-4	5-amod	3-nmod
216-5	22-dobj	4-nmod
216-6	8-case	5-nmod
216-7	15-advmod	18-advmod
216-8	22-nmod	7-nmod
216-9	8-punct	7-punct
216-10	8-conj	7-nmod
216-11	8-punct	7-punct
216-12	8-conj	7-nmod
216-13	8-punct	7-punct
216-14	8-conj	7-nmod
216-15	8-cc	14-cc
216-16	8-conj	14-nmod
216-17	22-punct	7-punct
216-18	22-mark	19-mark
216-19	22-nsubj	28-root
216-20	22-aux	19-nmod
216-21	22-advmod	20-nmod
216-22	28-root	21-nmod
216-23	26-case	22-nmod
216-24	26-det	23-nmod
216-25	26-amod	24-nmod
216-26	22-nmod	25-nmod
216-27	22-punct	19-punct

217-0	2-cop	32-root
217-1	2-nsubj	0-nmod
217-2	32-root	0-nmod
217-3	2-dep	2-nmod
217-4	12-punct	0-punct
217-5	12-mark	7-mark
217-6	12-nsubj	7-expl
217-7	12-neg	0-nmod
217-8	12-advmod	7-nmod
217-9	12-cop	32-root
217-10	12-det	9-nmod
217-11	12-amod	10-nmod
217-12	3-dep	11-nmod
217-13	14-nsubj	12-nmod
217-14	6-aclCOLrelcl	12-nmod
217-15	12-punct	9-punct
217-16	14-cc	9-cc
217-17	22-case	18-advmodCOLemph
217-18	19-advmod	32-root
217-19	20-advmod	18-nmod
217-20	21-advmod	19-nmod
217-21	22-amod	20-nmod
217-22	16-nmod	21-nmod
217-23	14-dobj	22-nmod
217-24	23-cc	23-cc
217-25	23-conj	23-nmod
217-26	23-punct	18-punct
217-27	23-conj	18-nmod
217-28	27-cc	27-cc
217-29	27-conj	27-nmod
217-30	2-punct	18-punct
217-31	2-punct	18-punct

218-0	3-root	3-root
218-1	0-nmodCOLloc	0-nmod
218-2	0-advmod	0-nmod

219-0	5-punct	1-punct
219-1	2-det	11-root
219-2	5-nsubj	1-nmod
219-3	5-cop	2-nmod
219-4	5-advmod	3-nmod
219-5	11-root	3-nmod
219-6	7-case	5-nmod
219-7	5-nmod	6-nmod
219-8	7-dep	11-root
219-9	8-nmod	8-nmod
219-10	5-punct	8-punct

220-0	37-dep	45-root
220-1	0-nmodCOLloc	0-nmod
220-2	5-dep	1-nmod
220-3	4-nsubj	45-root
220-4	1-aclCOLrelcl	3-nmod
220-5	4-nmodCOLloc	4-nmod
220-6	0-punct	3-punct
220-7	11-nsubjpass	45-root
220-8	11-auxpass	7-nmod
220-9	11-advmod	8-nmod
220-10	11-neg	9-nmod
220-11	0-conj	10-nmod
220-12	11-dep	11-nmod
220-13	12-dep	12-nmod
220-14	13-dep	13-nmod
220-15	14-dobj	14-nmod
220-16	17-case	15-nmod
220-17	14-nmod	16-nmod
220-18	17-dep	45-root
220-19	18-nmod	18-nmod
220-20	24-punct	18-punct
220-21	24-nsubj	27-dep
220-22	24-neg	21-nmod
220-23	24-aux	22-nmod
220-24	17-aclCOLrelcl	23-nmod
220-25	24-dobj	21-nmod
220-26	29-det	21-nmod
220-27	28-dep	45-root
220-28	29-amod	27-nmod
220-29	24-dep	28-nmod
220-30	24-punct	27-punct
220-31	32-advmod	27-nmod
220-32	29-dep	31-nmod
220-33	34-case	32-nmod
220-34	32-nmod	32-nmod
220-35	32-punct	27-punct
220-36	0-punct	27-punct
220-37	45-root	27-nmod
220-38	37-nsubj	37-nmod
220-39	41-punct	27-punct
220-40	41-nsubj	27-nmod
220-41	38-aclCOLrelcl	40-nmod
220-42	41-dobj	41-nmod
220-43	41-advmod	42-nmod
220-44	41-punct	27-punct

221-0	5-punct	1-punct
221-1	5-nsubj	7-root
221-2	1-name	1-nmod
221-3	5-cop	2-nmod
221-4	5-det	3-nmod
221-5	7-root	4-nmod
221-6	5-punct	1-punct

222-0	2-nsubj	30-root
222-1	2-cop	0-nmod
222-2	30-root	1-nmod
222-3	2-cc	2-cc
222-4	2-conj	2-nmod
222-5	2-punct	0-punct
222-6	2-cc	0-cc
222-7	10-mark	8-mark
222-8	10-nsubj	30-root
222-9	10-cop	8-nmod
222-10	20-nsubj	9-nmod
222-11	10-punct	8-punct
222-12	10-cc	8-cc
222-13	15-nsubj	14-expl
222-14	15-cop	8-nmod
222-15	10-conj	14-nmod
222-16	15-name	15-nmod
222-17	18-case	16-nmod
222-18	15-nmod	17-nmod
222-19	15-punct	8-punct
222-20	2-conj	8-nmod
222-21	22-case	20-nmod
222-22	20-nmod	21-nmod
222-23	28-case	22-nmod
222-24	28-det	23-nmod
222-25	28-dep	24-nmod
222-26	28-dep	25-cc
222-27	28-det	30-root
222-28	22-nmod	27-nmod
222-29	2-punct	27-punct

223-0	1-nsubj	1-nmod
223-1	12-root	12-root
223-2	3-amod	1-nmod
223-3	1-dep	2-nmod
223-4	1-punct	1-punct
223-5	1-cc	1-cc
223-6	7-nsubj	12-root
223-7	1-conj	6-nmod
223-8	10-case	7-nmod
223-9	10-amod	8-nmod
223-10	7-nmod	9-nmod
223-11	1-punct	6-punct

224-0	8-nsubj	11-root
224-1	8-aux	0-nmod
224-2	8-advmod	1-nmod
224-3	8-dep	2-nmod
224-4	3-dobj	3-nmod
224-5	8-cc	1-cc
224-6	8-aux	1-nmod
224-7	8-advmod	6-nmod
224-8	11-root	7-nmod
224-9	8-dobj	0-dobj
224-10	8-punct	0-punct

225-0	3-nsubj	17-root
225-1	3-aux	0-nmod
225-2	3-advmod	1-nmod
225-3	17-root	2-nmod
225-4	5-amod	3-xcomp
225-5	3-dobj	4-nmod
225-6	7-mark	0-case
225-7	2-amod	6-nmod
225-8	3-punct	0-punct
225-9	3-cc	0-cc
225-10	11-nsubj	17-root
225-11	3-conj	10-nmod
225-12	13-advmod	13-advmod
225-13	15-case	10-nmod
225-14	15-nmodCOLposs	13-nmod
225-15	11-nmod	14-nmod
225-16	3-punct	10-punct

226-0	1-nsubj	25-root
226-1	18-dep	0-nmod
226-2	1-advmod	1-nmod
226-3	5-amod	2-nmod
226-4	5-amod	3-nmod
226-5	1-dobj	4-nmod
226-6	7-advmod	0-advmod
226-7	5-dep	6-nmod
226-8	7-dep	7-nmod
226-9	8-dep	8-nmod
226-10	9-dep	9-nmod
226-11	10-dobj	10-nmod
226-12	15-case	13-advmodCOLemph
226-13	15-det	11-nmod
226-14	15-amod	13-nmod
226-15	10-nmod	14-nmod
226-16	1-punct	0-punct
226-17	1-punct	0-punct
226-18	25-root	0-nmod
226-19	18-nsubj	18-nmod
226-20	19-nmodCOLposs	19-nmod
226-21	22-punct	0-punct
226-22	19-appos	0-nmod
226-23	22-name	22-nmod
226-24	1-punct	0-punct

227-0	2-case	1-advmodCOLemph
227-1	2-det	42-root
227-2	22-nmod	1-nmod
227-3	2-punct	1-punct
227-4	6-advmod	1-nmod
227-5	6-nsubj	4-nmod
227-6	2-dep	5-nmod
227-7	6-dobj	6-nmod
227-8	7-dep	7-nmod
227-9	6-punct	7-punct
227-10	22-aux	7-nmod
227-11	22-nsubj	10-nmod
227-12	11-name	11-nmod
227-13	22-neg	12-nmod
227-14	22-dep	13-nmod
227-15	16-case	14-nmod
227-16	14-nmod	15-nmod
227-17	22-punct	1-punct
227-18	22-punct	1-punct
227-19	22-advmod	1-nmod
227-20	22-aux	19-nmod
227-21	22-nsubj	31-advmod
227-22	42-root	21-nmod
227-23	22-dobj	22-nmod
227-24	27-case	23-nmod
227-25	27-det	24-nmod
227-26	27-amod	25-nmod
227-27	22-nmod	25-nmod
227-28	27-dep	27-nmod
227-29	33-punct	21-punct
227-30	33-mark	31-mark
227-31	33-nsubj	42-root
227-32	33-advmod	31-nmod
227-33	28-dep	32-nmod
227-34	35-case	33-nmod
227-35	33-nmod	34-nmod
227-36	40-case	35-nmod
227-37	40-det	36-nmod
227-38	40-amod	36-nmod
227-39	40-amod	38-nmod
227-40	35-nmod	39-nmod
227-41	22-punct	31-punct

228-0	1-amod	2-root
228-1	2-root	0-nmod

229-0	11-root	1-cc
229-1	2-name	11-root
229-2	9-nsubj	1-nmod
229-3	2-name	2-nmod
229-4	2-name	3-nmod
229-5	9-aux	4-nmod
229-6	9-advmod	5-nmod
229-7	9-cop	6-nmod
229-8	9-det	7-nmod
229-9	0-conj	8-nmod
229-10	0-punct	1-punct

230-0	1-nsubj	10-root
230-1	10-root	0-nmod
230-2	3-amod	1-nmod
230-3	1-dobj	2-nmod
230-4	1-punct	0-punct
230-5	6-cop	0-nmod
230-6	1-conj	5-nmod
230-7	6-cc	6-cc
230-8	6-conj	6-nmod
230-9	1-punct	0-punct

231-0	5-nsubj	26-root
231-1	5-aux	0-nmod
231-2	5-cop	1-nmod
231-3	5-det	2-nmod
231-4	5-amod	3-nmod
231-5	22-dep	3-nmod
231-6	10-case	5-nmod
231-7	10-det	26-root
231-8	10-dep	7-nmod
231-9	10-amod	8-nmod
231-10	5-nmod	9-nmod
231-11	10-punct	7-punct
231-12	15-nsubj	7-nmod
231-13	15-advmod	12-nmod
231-14	15-aux	13-nmod
231-15	10-aux	14-nmod
231-16	19-det	15-nmod
231-17	18-advmod	7-advmod
231-18	19-amod	17-nmod
231-19	15-dobj	18-nmod
231-20	15-punct	7-punct
231-21	5-punct	7-punct
231-22	26-root	7-nmod
231-23	22-nsubj	22-nmod
231-24	23-name	23-nmod
231-25	22-punct	7-punct

232-0	3-advmod	20-root
232-1	2-case	0-nmod
232-2	0-nmod	1-nmod
232-3	20-root	2-nmod
232-4	3-expl	3-nmod
232-5	3-dobj	4-nmod
232-6	3-punct	3-punct
232-7	3-cc	3-cc
232-8	9-advmod	7-nmod
232-9	3-conj	8-nmod
232-10	9-nsubj	9-nmod
232-11	12-case	3-nmod
232-12	9-nmod	11-nmod
232-13	15-case	15-advmodCOLemph
232-14	15-nummod	15-nummod
232-15	11-nmod	12-advmod
232-16	18-case	15-nmod
232-17	18-nummod	3-nummod
232-18	15-nmod	17-nmod
232-19	3-punct	0-punct

233-0	1-case	13-root
233-1	2-nmod	0-nmod
233-2	13-root	1-nmod
233-3	2-nsubj	2-nmod
233-4	5-case	13-root
233-5	3-nmod	4-nmod
233-6	5-name	5-nmod
233-7	5-cc	4-cc
233-8	5-conj	4-nmod
233-9	8-name	8-nmod
233-10	2-dep	9-nmod
233-11	10-nummod	4-nummod
233-12	2-punct	4-punct

234-0	1-advmod	21-root
234-1	21-root	0-nmod
234-2	1-nsubj	1-nmod
234-3	2-punct	0-punct
234-4	2-conj	0-nmod
234-5	2-punct	0-punct
234-6	2-conj	0-nmod
234-7	2-punct	0-punct
234-8	2-conj	0-nmod
234-9	2-cc	8-cc
234-10	11-dep	8-nmod
234-11	12-advmod	10-nmod
234-12	16-dep	21-root
234-13	12-dep	21-root
234-14	13-nmod	13-nummod
234-15	16-punct	14-punct
234-16	2-conj	21-root
234-17	16-punct	16-punct
234-18	19-case	21-root
234-19	16-nmod	18-nmod
234-20	1-punct	18-punct

235-0	1-det	1-nmod
235-1	3-nsubj	14-root
235-2	3-cop	1-nmod
235-3	14-root	2-nmod
235-4	3-punct	2-punct
235-5	3-conj	2-nmod
235-6	3-punct	2-punct
235-7	3-conj	2-nmod
235-8	3-cc	7-cc
235-9	3-conj	7-nmod
235-10	11-case	9-nmod
235-11	9-nmod	10-nmod
235-12	11-name	11-nmod
235-13	3-punct	1-punct

236-0	11-nsubj	35-root
236-1	11-aux	0-nmod
236-2	11-advmod	1-nmod
236-3	11-dep	2-nmod
236-4	11-punct	0-punct
236-5	11-mark	6-mark
236-6	11-nsubj	0-nmod
236-7	8-case	35-root
236-8	6-nmod	7-nmod
236-9	8-name	8-nmod
236-10	11-aux	9-nmod
236-11	35-root	10-nmod
236-12	13-det	11-nmod
236-13	11-dobj	12-nmod
236-14	11-punct	12-punct
236-15	18-advmod	12-nmod
236-16	18-nsubjpass	15-nmod
236-17	18-auxpass	16-nmod
236-18	13-cop	17-nmod
236-19	20-advmod	17-advmod
236-20	18-nmodCOLloc	19-nmod
236-21	24-case	20-nmod
236-22	24-det	21-nmod
236-23	24-dep	22-nmod
236-24	20-nmod	23-nmod
236-25	18-punct	7-punct
236-26	11-cc	7-cc
236-27	28-nsubj	35-root
236-28	11-conj	27-nmod
236-29	28-dobj	28-nmod
236-30	11-cc	27-cc
236-31	11-conj	27-nmod
236-32	31-advmod	31-nmod
236-33	31-dobj	32-nmod
236-34	11-punct	27-punct

237-0	1-nsubj	4-root
237-1	4-root	0-nmod
237-2	1-dobj	1-nmod
237-3	1-punct	0-punct

238-0	1-nsubj	17-root
238-1	17-root	0-nmod
238-2	1-dobj	1-nmod
238-3	5-case	2-nmod
238-4	5-nummod	8-nummod
238-5	1-nmod	4-nmod
238-6	1-punct	4-punct
238-7	1-cc	4-cc
238-8	10-nsubj	0-nmod
238-9	8-name	8-nmod
238-10	1-conj	9-nmod
238-11	15-case	10-nmod
238-12	14-advmod	11-nmod
238-13	14-nummod	12-nummod
238-14	15-nmodCOLposs	13-nmod
238-15	10-nmod	14-nmod
238-16	1-punct	0-punct

239-0	2-det	3-root
239-1	2-amod	0-nmod
239-2	3-root	0-nmod

240-0	1-nsubj	10-root
240-1	10-root	0-nmod
240-2	1-dobj	0-nmod
240-3	2-dep	2-nmod
240-4	7-punct	0-punct
240-5	7-mark	6-mark
240-6	7-nsubj	0-nmod
240-7	3-dep	0-nmod
240-8	7-dobj	7-nmod
240-9	1-punct	0-punct

241-0	1-nsubj	1-expl
241-1	19-root	19-root
241-2	1-dobj	1-nmod
241-3	1-dep	2-nmod
241-4	3-dep	3-nmod
241-5	4-dep	4-nmod
241-6	5-dobj	5-nmod
241-7	8-case	6-nmod
241-8	5-nmod	7-nmod
241-9	15-case	10-advmodCOLemph
241-10	15-det	8-nmod
241-11	15-amod	8-nmod
241-12	15-dep	11-nmod
241-13	15-advmod	12-nmod
241-14	15-nummod	13-nummod
241-15	5-nmod	14-nmod
241-16	17-case	15-nmod
241-17	15-nmod	16-nmod
241-18	1-punct	1-punct

242-0	1-advmod	18-root
242-1	18-root	0-nmod
242-2	4-nmodCOLposs	1-nmod
242-3	2-name	2-nmod
242-4	1-nsubj	3-nmod
242-5	8-punct	0-punct
242-6	8-mark	7-mark
242-7	8-nsubj	0-nmod
242-8	1-dep	0-nmod
242-9	8-cc	8-cc
242-10	8-conj	8-nmod
242-11	14-advmod	10-nmod
242-12	10-dobj	11-nmod
242-13	12-name	12-nmod
242-14	12-cc	13-cc
242-15	12-conj	13-nmod
242-16	10-advmod	13-nmod
242-17	1-punct	0-punct

243-0	1-case	26-root
243-1	5-nmod	0-nmod
243-2	5-auxpass	1-nmod
243-3	5-nsubjpass	4-expl
243-4	5-auxpass	0-nmod
243-5	26-root	4-nmod
243-6	5-nmodCOLloc	5-nmod
243-7	8-case	8-advmodCOLemph
243-8	6-nmod	6-nmod
243-9	10-case	8-nmod
243-10	8-nmod	9-nmod
243-11	15-punct	0-punct
243-12	15-mark	13-mark
243-13	15-nsubj	0-nmod
243-14	15-cop	13-nmod
243-15	3-dep	14-nmod
243-16	15-punct	0-punct
243-17	18-amod	0-nmod
243-18	15-conj	17-nmod
243-19	15-cc	0-cc
243-20	15-conj	19-nmod
243-21	15-punct	0-punct
243-22	15-nsubj	0-nmod
243-23	22-nmod	22-nmod
243-24	15-neg	23-nmod
243-25	5-punct	0-punct

244-0	10-nsubj	1-expl
244-1	10-aux	27-root
244-2	10-advmod	1-nmod
244-3	5-cop	2-nmod
244-4	5-advmod	3-nmod
244-5	10-amod	4-nmod
244-6	10-punct	1-punct
244-7	10-mark	8-mark
244-8	10-nsubj	27-root
244-9	10-aux	8-nmod
244-10	27-root	9-nmod
244-11	14-punct	8-punct
244-12	14-mark	13-mark
244-13	14-nsubj	8-nmod
244-14	10-dobj	13-nmod
244-15	16-amod	14-nmod
244-16	14-dobj	15-nmod
244-17	18-punct	8-punct
244-18	14-dep	8-nmod
244-19	18-dobj	18-nmod
244-20	21-case	18-nmod
244-21	18-nmod	27-root
244-22	25-case	21-nmod
244-23	25-det	22-nmod
244-24	25-amod	22-nmod
244-25	20-nmod	22-nmod
244-26	10-punct	21-punct

245-0	3-mark	1-mark
245-1	3-nsubj	40-root
245-2	3-aux	1-nmod
245-3	40-root	2-nmod
245-4	3-dobj	3-nmod
245-5	4-dep	4-nmod
245-6	5-dobj	5-nmod
245-7	6-nmod	6-nmod
245-8	6-cc	7-cc
245-9	6-conj	7-nmod
245-10	5-punct	9-punct
245-11	5-dep	40-root
245-12	11-dep	11-nmod
245-13	16-punct	11-punct
245-14	16-expl	40-root
245-15	31-advmod	36-advmod
245-16	12-aclCOLrelcl	15-nmod
245-17	16-dobj	16-nmod
245-18	19-case	17-nmod
245-19	17-nmod	17-nmod
245-20	16-punct	15-punct
245-21	19-conj	15-nmod
245-22	19-punct	15-punct
245-23	24-amod	15-nmod
245-24	19-conj	23-nmod
245-25	19-punct	15-punct
245-26	19-conj	15-nmod
245-27	19-punct	15-punct
245-28	29-punct	29-punct
245-29	19-conj	15-nmod
245-30	29-punct	15-punct
245-31	19-cc	15-cc
245-32	34-punct	31-punct
245-33	34-nsubj	34-nmod
245-34	19-conj	15-nmod
245-35	34-punct	15-punct
245-36	37-nsubj	40-root
245-37	19-conj	36-nmod
245-38	34-punct	36-punct
245-39	3-punct	36-punct

246-0	11-root	1-cc
246-1	6-nsubj	11-root
246-2	3-case	1-nmod
246-3	1-nmod	2-nmod
246-4	6-cop	3-nmod
246-5	6-amod	4-nmod
246-6	0-conj	5-nmod
246-7	8-amod	6-nmod
246-8	6-dep	7-nmod
246-9	8-advmod	8-nmod
246-10	0-punct	1-punct

247-0	1-nsubj	22-root
247-1	22-root	0-nmod
247-2	1-amod	22-root
247-3	2-advmod	2-nmod
247-4	1-dobj	3-nmod
247-5	4-dep	4-nmod
247-6	7-advmod	5-nmod
247-7	5-dep	6-nmod
247-8	7-dep	7-nmod
247-9	8-compoundCOLprt	8-nmod
247-10	8-cc	9-cc
247-11	8-conj	9-nmod
247-12	16-punct	2-punct
247-13	16-mark	2-mark
247-14	16-nsubj	22-root
247-15	16-aux	14-nmod
247-16	1-dep	15-nmod
247-17	16-dobj	16-nmod
247-18	20-cop	17-nmod
247-19	20-amod	18-nmod
247-20	17-dep	19-nmod
247-21	1-punct	14-punct

248-0	3-advmod	32-root
248-1	3-aux	0-nmod
248-2	3-expl	1-nmod
248-3	32-root	2-nmod
248-4	5-case	32-root
248-5	3-nmod	4-nmod
248-6	5-cc	5-cc
248-7	5-conj	5-nmod
248-8	9-punct	4-punct
248-9	3-dep	8-nmod
248-10	9-dep	32-root
248-11	10-dep	10-nmod
248-12	11-dobj	11-nmod
248-13	11-dep	12-nmod
248-14	13-dep	13-nmod
248-15	14-dep	14-nmod
248-16	9-punct	14-punct
248-17	18-det	32-root
248-18	15-dobj	17-nmod
248-19	18-punct	17-punct
248-20	15-amod	17-advmod
248-21	15-cc	20-cc
248-22	15-conj	20-nmod
248-23	22-dobj	24-expl
248-24	22-dep	32-root
248-25	27-det	32-root
248-26	27-amod	25-nmod
248-27	24-dep	26-nmod
248-28	30-case	27-nmod
248-29	30-det	28-nmod
248-30	27-nmod	29-nmod
248-31	3-punct	25-punct

249-0	3-nsubj	1-expl
249-1	3-cop	5-root
249-2	3-advmod	1-nmod
249-3	5-root	1-nmod
249-4	3-punct	1-punct

250-0	5-nsubj	34-root
250-1	5-aux	0-nmod
250-2	5-dep	1-nmod
250-3	2-advmod	0-advmod
250-4	5-cop	3-nmod
250-5	34-root	4-nmod
250-6	5-dep	5-nmod
250-7	6-dep	6-nmod
250-8	7-dep	7-nmod
250-9	8-cc	8-cc
250-10	8-conj	7-nmod
250-11	12-case	7-nmod
250-12	8-nmod	11-nmod
250-13	12-dep	25-mark
250-14	16-det	25-neg
250-15	16-amod	14-nmod
250-16	13-dep	15-nmod
250-17	20-case	16-nmod
250-18	20-det	17-nmod
250-19	20-amod	18-nmod
250-20	16-nmod	19-nmod
250-21	7-punct	14-punct
250-22	7-cc	14-cc
250-23	24-amod	14-nmod
250-24	7-conj	23-nmod
250-25	24-dep	7-nmod
250-26	28-mark	27-mark
250-27	28-nsubj	25-nmod
250-28	25-dep	27-nmod
250-29	32-advmod	0-advmod
250-30	29-cc	29-cc
250-31	29-conj	29-advmod
250-32	28-dep	31-nmod
250-33	5-punct	0-punct

251-0	5-punct	1-punct
251-1	5-nsubj	2-expl
251-2	5-cop	7-root
251-3	5-det	7-root
251-4	5-amod	3-nmod
251-5	7-root	4-nmod
251-6	5-punct	3-punct

252-0	7-root	1-cc
252-1	2-nsubj	7-root
252-2	0-conj	1-nmod
252-3	2-neg	2-nmod
252-4	2-dobj	3-nmod
252-5	0-punct	1-punct
252-6	0-punct	1-punct

253-0	15-root	15-root
253-1	2-case	0-nmod
253-2	0-nmod	1-nmod
253-3	0-cop	2-nmod
253-4	0-nsubj	3-nmod
253-5	4-name	4-nmod
253-6	10-punct	5-punct
253-7	10-nsubj	15-root
253-8	10-advmod	7-nmod
253-9	10-cop	8-nmod
253-10	4-aclCOLrelcl	9-nmod
253-11	12-case	10-nmod
253-12	10-nmod	11-nmod
253-13	12-name	12-nmod
253-14	0-punct	7-punct

254-0	3-nsubj	20-root
254-1	3-aux	0-nmod
254-2	3-cop	1-nmod
254-3	20-root	2-nmod
254-4	3-dep	3-nmod
254-5	8-advmod	4-xcomp
254-6	7-case	5-nmod
254-7	5-nmod	6-nmod
254-8	4-dep	7-nmod
254-9	8-dep	8-nmod
254-10	18-punct	0-punct
254-11	18-mark	20-root
254-12	14-advmod	20-root
254-13	18-nsubj	12-nmod
254-14	13-cc	12-cc
254-15	13-conj	12-nmod
254-16	18-cop	15-nmod
254-17	18-amod	16-nmod
254-18	9-dobj	17-nmod
254-19	3-punct	12-punct

255-0	2-nmodCOLposs	26-root
255-1	2-amod	0-nmod
255-2	3-nsubj	1-nmod
255-3	26-root	2-nmod
255-4	5-case	3-nmod
255-5	3-nmod	4-nmod
255-6	3-punct	0-punct
255-7	10-nsubj	0-nmod
255-8	10-aux	7-nmod
255-9	10-advmod	8-nmod
255-10	3-dep	9-nmod
255-11	10-dobj	10-xcomp
255-12	11-dep	11-nmod
255-13	11-nmodCOLposs	12-nmod
255-14	15-punct	0-punct
255-15	11-appos	0-nmod
255-16	15-punct	0-punct
255-17	10-dep	0-nmod
255-18	17-dep	17-nmod
255-19	18-dep	18-nmod
255-20	19-dobj	19-nmod
255-21	22-case	19-nmod
255-22	19-nmod	26-root
255-23	24-case	22-nmod
255-24	21-nmod	23-nmod
255-25	10-punct	22-punct

256-0	1-name	10-root
256-1	10-root	10-root
256-2	1-name	1-nmod
256-3	1-punct	1-punct
256-4	6-punct	1-punct
256-5	6-nsubj	1-nmod
256-6	1-dep	5-nmod
256-7	6-neg	6-nmod
256-8	6-dobj	7-nmod
256-9	6-punct	1-punct

257-0	29-root	2-cc
257-1	2-nsubj	2-expl
257-2	0-conj	29-root
257-3	2-advmod	2-nmod
257-4	10-punct	2-punct
257-5	10-mark	7-mark
257-6	10-nsubj	7-expl
257-7	10-cop	2-nmod
257-8	10-det	7-nmod
257-9	10-amod	8-nmod
257-10	2-dep	9-nmod
257-11	10-nmod	10-nmod
257-12	11-dep	11-nmod
257-13	12-nmodCOLloc	11-nmod
257-14	15-case	13-nmod
257-15	13-nmod	14-nmod
257-16	12-dep	15-nmod
257-17	10-punct	2-punct
257-18	10-cc	2-cc
257-19	20-nsubj	2-nmod
257-20	10-conj	2-nmod
257-21	20-advmod	20-nmod
257-22	20-advmod	20-nmod
257-23	20-dobj	22-nmod
257-24	25-advmod	23-nmod
257-25	26-case	29-root
257-26	20-nmod	25-nmod
257-27	0-punct	25-punct
257-28	0-punct	25-punct

258-0	1-nsubj	1-expl
258-1	9-root	9-root
258-2	3-nummod	1-nummod
258-3	1-dobj	2-nmod
258-4	0-dep	3-nmod
258-5	4-dep	4-nmod
258-6	7-det	5-nmod
258-7	5-dobj	6-nmod
258-8	1-punct	1-punct

259-0	7-nsubj	18-root
259-1	5-punct	0-punct
259-2	5-dobj	18-root
259-3	5-nsubj	18-root
259-4	5-neg	3-nmod
